,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1960,stop_description
492,493,Heiligensee,s-bahn,KBS 105,"52.6247,13.2292",Q800475,476,Heiligensee station
493,494,Heiligenseestrasse,bus,"A20,A14","52.59796193636089, 13.275098894138587",nan,477,Heiligenseestrasse Ecke Karolinenstraße 
494,495,"Heinersdorf, Kirche",bus,A42,"52.56826376476754, 13.440601903603064",nan,479,"Heinersdorf, Kirche"
495,496,"Heinersdorf, Kirche",strassenbahn,71,0,Q65096107,480,Heinersdorf Kirche
496,497,"Heinersdorf, Romain-Rolland-Str.",strassenbahn,71,0,Q65096052,481,Heinersdorf
497,498,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,strassenbahn,82,,,,
498,499,Heinrich-Heine-Strasse,strassenbahn,"64,11",,,,
499,500,Heinrich-Mann-Platz,bus,"A55,A45","52.57297246262195, 13.392146133350426",nan,482,Heinrich-Mann-Platz
500,501,Hennigsdorf (b Bln),s-bahn,KBS 105,"52.638,13.2057",Q800909,484,Hennigsdorf station
501,502,Hennigsdorf Nord,s-bahn,KBS 105,,,,
502,503,Hermannplatz,bus,A67,"52.48778872855567, 13.425393480017616",nan,485,Hermannplatz Ecke Sonnenallee
503,504,Hermannplatz,strassenbahn,"3,95,47,27,26","52.487085572732276, 13.424752445258537",nan,486,Hermannplatz
504,505,Hermannplatz,u-bahn,"D,C I","52.48629,13.42455",Q658929,487,Hermannplatz
505,506,Hermannstr.,s-bahn,"KBS 100a,KBS 100","52.4675,13.431111111111",Q111263802,488,S-Bahnhof Hermannstraße
506,507,Hermannstrasse,strassenbahn,"15,26","52.46476232618638, 13.432818109719008",nan,489,Hermannstrasse
507,508,Hermannstrasse Ecke Germaniastrasse,bus,A65,,,,
508,509,Hermsdorf,s-bahn,KBS 106,"52.6178,13.3069",Q263189,490,Berlin-Hermsdorf station
509,510,Hermsdorfer Damm,bus,"A15,A12","52.62242143698805, 13.31287835380073 +  52.600011860666825, 13.281303213246002",nan+ nan,491+ 10491,Hermsdorfer Damm Ecke Berliner Strasse +  Hermsdorfer Damm Ecke Karolinenstrasse
510,511,Hertzbergplatz,bus,A67,"52.477487105395774, 13.448598156816837",nan,492,Hertzbergplatz
511,512,Hertzbergplatz,strassenbahn,95,"52.4773735457893, 13.448843811492495",nan,493,Hertzbergplatz
512,513,"Hessenwinkel, Lindenstrasse",bus,A22,"52.42653518647879, 13.728458969026482",nan,494,"Hessenwinkel, Lindenstrasse"
513,514,Hildburghauser Strasse,bus,A11,"52.416650746748985, 13.338144038711128",nan,495,Hildburghauser Strasse Ecke Mariannenstrasse
514,515,Hindenburgdamm,bus,A48,"52.45352507850236, 13.315671490206539",nan,497,Hindenburgdamm Ecke Unter den Eichen
515,516,Hindenburgdamm,strassenbahn,"77,78","52.44956203989038, 13.315244235516836",nan,498,Hindenburgdamm
516,517,Hirschgarten,s-bahn,KBS 102,"52.4579,13.6032",Q4892435,499,Berlin Hirschgarten station
517,518,Hirschgarten,strassenbahn,"84,87",0,Q66360740,500,Hirschgarten
518,519,Hirtestrasse,strassenbahn,86,,,,
519,520,Hochgerichtstrasse,bus,"A63,A5","52.53838037062423, 13.183009198076522",nan,502,Hochgerichtstrasse Ecke Seegefelder Strasse
520,521,Hochmeisterplatz,bus,A4,"52.49468637986547, 13.301254684721862",nan,503,Hochmeisterplatz
521,522,Hochschule für Ökonomie,strassenbahn,69,,,,
522,523,Hohen-Neuendorf (b Bln),s-bahn,KBS 104,"52.6684,13.287",Q4500489,507,Hohen Neuendorf station
523,524,"Hohenschönhausen, Falkenberger Strasse",bus,A39,,,,
524,525,"Hohenschönhausen, Falkenberger Strasse",strassenbahn,"64,70",,,,
525,526,"Hohenschönhausen, Gartenstadt",strassenbahn,63,,,,
526,527,Hohenschönhauser Strasse,strassenbahn,3,,,,
527,528,Hohenschöpping,s-bahn,KBS 105,"52.67,13.1945",Q19274489,512,Bahnhof Hohenschöpping
528,529,Hohenstaufenplatz,bus,A67,"52.49085480753271, 13.423419999335453",nan,513,Hohenstaufenplatz
529,530,Hohenzollerndamm,bus,A50,"52.476835205459196, 13.28097752710442",nan,514,Hohenzollerndamm Ecke Teplitzer Strasse
530,531,Hohenzollerndamm,s-bahn,KBS 100,"52.4885,13.3004",Q800503,515,Berlin Hohenzollerndamm station
531,532,Hohenzollernplatz,u-bahn,"A II,B II","52.493888888889,13.325",Q571570,516,Hohenzollernplatz
532,533,Hohenzollernring,bus,AS1,"52.55569430282622, 13.207589665448262",nan,517,Hohenzollernring Ecke Streitstrasse
533,534,Hohenzollernring,strassenbahn,"53,75,54,76","52.55534806923232, 13.198657615343986 +  52.55569292602298, 13.20744492422738",nan+ nan,518+ 10518,Hohenzollernring Ecke Schönwalder Allee +  Hohenzollernring Ecke Streitstraße
534,535,Holteistrasse Ecke Boxhagener Strasse,strassenbahn,3,,,,
535,536,Holteistrasse Ecke Boxhagenerstrasse,strassenbahn,13,,,,
536,537,Holzhauser Str.,u-bahn,C I,"52.575833333333,13.296111111111",Q557566,521,Holzhauser Straße
537,538,Holzhauser Strasse,bus,"A15,A12,A14","52.59178549505881, 13.326377240287412 +  52.581973276504755, 13.305409380050108",nan+ nan,522+ 10522,"Holzhauser Strasse, Rathaus Reinickendorf +  Holzhauser Strasse Ecke Breitenbachstrasse"
538,539,Hoppegarten (Mark),s-bahn,KBS 101,"52.5183,13.6734",Q15197357,523,Hoppegarten (Mark) station
539,540,Hottengrund,bus,A35,"52.44597765000425, 13.126251393745859",nan,524,Hottengrund
540,541,Hultschiner Damm,bus,A8,,,,
541,542,Humannplatz,strassenbahn,70,0,Q65962652,527,Humannplatz
542,543,Humboldthain,s-bahn,"KBS 104,KBS 105,KBS 106","52.5451,13.3796",Q481276,528,Berlin Humboldthain station
543,544,Humboldtstrasse,bus,A61,"52.56929443788896, 13.32995611157798",nan,529,Humboldtstrasse Ecke Ollenhauerstrasse
544,545,Hundekehlestrasse,bus,A10,"52.47548162130776, 13.290308772196097",nan,530,Hundekehlestrasse Ecke Warnemünder Strasse
545,546,Händelplatz,strassenbahn,"73,77,78,74",,,,
546,547,"Hönow, Dorfstrasse",bus,A44,,,,
547,548,Ihnestrasse,bus,A11,"52.44831039409289, 13.276355065531465",nan,531,Ihnestrasse Ecke Garystrasse
548,549,Imbrosweg,strassenbahn,15,"52.443541863050356, 13.398564688322455",nan,533,Imbrosweg
549,550,Industriestrasse,strassenbahn,"15,26","52.455350229930445, 13.409794385645863",nan,534,Industriestrasse
550,551,Innsbrucker Platz,bus,"A75,A65,A4,A16,A48","52.478545508234895, 13.34405868604117",nan,535,Innsbrucker Platz
551,552,Innsbrucker Platz,s-bahn,"KBS 100a,KBS 100","52.4786,13.3439",Q111263876,536,S-Bahnhof Innsbrucker Platz
552,553,Innsbrucker Platz,strassenbahn,"66,73,74","52.47804266204959, 13.343446877940893",nan,537,Innsbrucker Platz
553,554,Innsbrucker Platz (Hauptstr.),u-bahn,B III,"52.4786,13.3439",Q10275871,538,Innsbrucker Platz metro station
554,555,Invalidenstrasse Ecke Chausseestrasse,strassenbahn,1,0,Q65552697,540,U Naturkundemuseum
555,556,"J denstrasse, Molkenmarkt",strassenbahn,71,"52.516142213164905, 13.410591792750504",nan,542,"Jüdenstrasse, Molkenmarkt"
556,557,Jakob-Kaiser-Platz,bus,A72,,,,
557,558,Jakob-Kaiser-Platz,strassenbahn,55,,,,
558,559,Jannowitzbrücke,s-bahn,"KBS 101,KBS 103,KBS 102","52.514822222222,13.41795",Q27955427,545,S-Jannowitzbrücke station
559,560,"Jerusalems-Kirche, Lindenstrasse",bus,A67,"52.507080658279015, 13.398349137947935",nan,547,"Jerusalems-Kirche, Lindenstrasse"
560,561,Joachim-Friedrich-Strasse,bus,A29,"52.49796465694724, 13.296270941417216",nan,548,Joachim-Friedrich-Strasse Ecke Kurfürstendamm
561,562,Joachim-Friedrich-Strasse Ecke Kurfürsten Damm,bus,A69,,,,
562,563,Joachimstaler Strasse,bus,"A19,A60,A29","52.50444348896255, 13.335628270538354",nan,549,Joachimstaler Strasse
563,564,Joachimstaler Strasse Ecke Kurfürstendamm,bus,A69,,,,
564,565,Joachimstrasse,bus,A38,"52.40316589631168, 13.57664158970399",nan,550,Joachimstrasse Ecke Schulzendorfer Strasse
565,566,Johannesstift,strassenbahn,"54,76","52.56762416524039, 13.191782610265674",nan,551,Johannesstift
566,567,"Johannisthal, Haeckelstrasse",strassenbahn,69,0,Q66225573,552,Haeckelstraße
567,568,Johannisthaler Chaussee,bus,A47,"52.45136033294721, 13.488299619950027",nan,553,Johannisthaler Chaussee Ecke Königsheideweg
568,569,Johannisthaler Chaussee,strassenbahn,47,"52.43434580082342, 13.469025837805159",nan,554,Johannisthaler Chaussee
569,570,John-Foster-Dulles-Allee,bus,A24,"52.517085214536316, 13.354609198247653",nan,555,John-Foster-Dulles-Allee Ecke Spreeweg
570,571,Jungfernheide,s-bahn,"KBS 103a,KBS 100c,KBS 100","52.53035,13.299433333333",Q110977325,556,S-Bahnhof Jungfernheide
571,572,Jänickestrasse,bus,A53,,,,
572,573,Kaiser-Friedrich-Strasse,bus,A74,,,,
573,574,Kaiser-Wilhelm-Platz,bus,"A4,A48,A75","52.486329247981715, 13.35655627172785",nan,560,Kaiser-Wilhelm-Platz
574,575,Kaiser-Wilhelm-Platz,strassenbahn,"2,73,74","52.486331659025346, 13.356584679052645",nan,561,Kaiser-Wilhelm-Platz
575,576,Kaiserdamm (Messedamm),u-bahn,"A I,B I","52.51,13.2822",Q656409,563,Kaiserdamm
576,577,Kaisereiche,bus,"A25,A48,A75","52.46896806014468, 13.332614886077709",nan,564,Kaisereiche
577,578,Kaisereiche,strassenbahn,"73,74","52.468942127334586, 13.332672961457298",nan,565,Kaisereiche
578,579,Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm,bus,A68,,,,
579,580,Kaiserstrasse,bus,A33,"52.445569639174806, 13.385736727448023",nan,567,Kaiserstrasse
580,581,Kaiserstrasse Ecke Lichtenrader Damm,bus,A76,,,,
581,582,Kaiserstrasse Ecke Mariendorfer Damm,bus,A77,,,,
582,583,Kaiserstrasse/Ringstrasse,bus,A33,"52.44449600134536, 13.372233806361567",nan,569,Kaiserstrasse/Ringstrasse
583,584,Kali-Chamie,strassenbahn,95,,,,
584,585,Kali-Chemie,strassenbahn,92,,,,
585,586,Kanalstrasse,bus,A52,"52.42383870085989, 13.514466425990765",nan,570,Kanalstrasse Ecke Köpenicker Strasse
586,587,Kantstrasse,bus,A21,"52.50678794910284, 13.302320269833038",nan,572,Kantstrasse Ecke Kaiser-Friedrich-Strasse
587,588,Karl-Marx-Platz,strassenbahn,"47,26","52.47358382682129, 13.44070604138443",nan,574,Karl-Marx-Platz
588,589,Karl-Marx-Str.,u-bahn,C I,"52.476111111111,13.439166666667",Q519494,575,Karl-Marx-Straße
589,590,Karlshorst,s-bahn,KBS 102,"52.4808,13.5258",Q111327045,576,S-Bahnhof Berlin Karlshorst
590,591,Karlshorster Strasse,strassenbahn,13,"52.502334098187674, 13.475466875195085",nan,577,Karlshorster Strasse
591,592,Karolinenhof Mitte,strassenbahn,86,,,,
592,593,Karolinenstrasse,bus,A20,"52.59678679258494, 13.276661373436578",nan,578,Karolinenstrasse Ecke Hermsdorfer Damm
593,594,Karow,s-bahn,KBS 106,"52.615,13.4692",Q111324168,579,S-Bahnhof Berlin Karow
594,595,"Karow, Bahnhofstrasse",bus,A42,"52.60931228539711, 13.481265848599735",nan,580,"Karow, Bahnhofstrasse Ecke Alt-Karow"
595,596,"Karower Strasse, Alt-Buch",bus,A42,,,,
596,597,Kaserne Südtor,bus,A21,"52.55685969560147, 13.3084342409763",nan,581,Kaserne Südtor
597,598,Katzbachstrasse,bus,A19,"52.491584280543336, 13.376725460315825",nan,583,Katzbachstrasse Ecke Yorckstrasse
598,599,Kaulsdorf,s-bahn,KBS 101,"52.5121,13.5904",Q800478,584,Berlin-Kaulsdorf railway station
599,600,"Kaulsdorf, Bausdorfstrasse",bus,A49,"52.51256368150751, 13.601906818686038",nan,585,"Kaulsdorf, Bausdorfstrasse"
600,601,Kinderheim,bus,A82P,"52.4898153097415, 13.481404230737937",nan,586,"Stralau, Kinderheim"
601,602,Kinderheim Ruhleben,bus,A31,"52.52796709321304, 13.230713275419049",nan,587,Kinderheim Ruhleben
602,603,Kirchstrasse,bus,A12,"52.61485248170046, 13.317034418727145",nan,588,Kirchstrasse Ecke Berliner Strasse
603,604,Kirschenallee,strassenbahn,"53,54","52.52037354122697, 13.267241546337495",nan,589,Kirschenallee
604,605,Kisselnallee Ecke Pionierstrasse,bus,A63,,,,
605,606,Kladow,Fähre,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),,,,
606,607,Klausenerplatz,bus,A74,,,,
607,608,Klausenerplatz,strassenbahn,"53,54","52.519202008553854, 13.291867366490655",nan,591,Klausenerplatz
608,609,Klein Ziethen,bus,AZ,"52.379580499215606, 13.44656986522325",nan,592,Klein Ziethen
609,610,"Kleinbahn, Buckower Damm",strassenbahn,27,,,,
610,611,Klement-Gottwald-Allee Ecke Remmbahnstrasse,bus,A45,,,,
611,612,Klement-Gottwald-Allee Ecke Rennbahnstrasse,bus,A46,,,,
612,613,Klement-Gottwald-Allee Ecke Rennbahnstrasse,strassenbahn,"72,74E,74",,,,
613,614,Klement-Gottwalt-Allee,strassenbahn,3,,,,
614,615,"Klingenberg, Blockdammweg",strassenbahn,"13,82","52.4842462,13.5104609",Q66085182,598,Blockdammweg
615,616,Klingsorstrasse,bus,A33,"52.45309021884074, 13.33121103955973",nan,599,Klingsorstrasse Ecke Albrechtstrasse
616,617,Klinkeplatz,bus,AS1,"52.555551464661846, 13.198549783852652",nan,600,Klinkeplatz
617,618,Klosterstr.,u-bahn,A,"52.516111111111,13.412222222222",Q657893,601,Klosterstraße station
618,619,Klosterstrasse,bus,O30,"52.51798604342281, 13.412126746747086",nan,602,Klosterstrasse
619,620,Knesebeckstrasse,bus,A53,"52.428912094809505, 13.267664971836647",nan,604,Knesebeckstrasse Ecke Seehofstrasse
620,621,Kniprodestrasse,strassenbahn,"13,4","52.5325286,13.4406868",Q65707391,605,Kniprodestraße/Danziger Straße
621,622,Kniprodestrasse Ecke Ermländische Strasse,bus,A57,,,,
622,623,KoblanckStrasse,bus,A51,"52.426175417562064, 13.161460962278303",nan,607,KoblanckStrasse Ecke Am Großen Wannsee
623,624,Kochstr.,u-bahn,C I,"52.505897222222,13.390611111111",Q201849,608,Kochstraße
624,625,Kohlhasenbr ck,bus,A18,"52.397602179732665, 13.143663292364124",nan,609,Kohlhasenbrück
625,626,"Kolonie ""Land in Sonne""",bus,A39,"52.55462883361286, 13.511870302373488",nan,611,"Kolonie ""Land in Sonne"" Ecke Wartenberger Strasse"
626,627,Kongreßhalle,bus,A69,,,,
627,628,Konstanzer Strasse,bus,A50,"52.48857876641685, 13.308077083720315",nan,613,Konstanzer Strasse Ecke Hohenzollerndamm
628,629,Konsum Wernsdorf,bus,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,,,
629,630,Konsum Ziegenhals,bus,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),,,,
630,631,Kopenhagener Strasse,bus,A14,"52.574260461143574, 13.359154742049908",nan,616,Kopenhagener Strasse & Klemkestrasse
631,632,Kopernikusstrasse,strassenbahn,"3,4",,,,
632,633,Kosterstrasse,bus,O30,"52.51798604342281, 13.412126746747086",nan,618,Klosterstrasse
633,634,Kottbusser Brücke,bus,A67,"52.496030844936435, 13.420070402767054",nan,619,Kottbusser Brücke
634,635,Kottbusser Damm (Schönleinstr.),u-bahn,D,"52.493055555556,13.421944444444",Q666868,620,Schönleinstraße metro station
635,636,Kottbusser Tor,u-bahn,"A II,D,B II,B I","52.499166666667,13.418055555556",Q819768,621,Kottbusser Tor station
636,637,Kraftwerk Klingenberg,strassenbahn,13,,,,
637,638,Kraftwerk Lingenberg,strassenbahn,82,,,,
638,639,Krampnitzer Weg,bus,A35,"52.45227343259078, 13.13842230425098",nan,622,Krampnitzer Weg Ecke Sarkower Landstrasse
639,640,Krankenhaus Havelh he,bus,A35,"52.462919334280684, 13.15899083159388",nan,623,Krankenhaus Havelhöhe
640,641,Krankenhaus Havelhöhe,bus,A34,,,,
641,642,Krankenhaus Heckeshorn,bus,A51,"52.43498872792054, 13.161716693825408",nan,624,Krankenhaus Heckeshorn
642,643,Krankenhaus Hohengatow,bus,"A34,A35","52.470449875602235, 13.169391604448148",nan,625,Krankenhaus Hohengatow
643,644,Krankenhaus Köpenick,strassenbahn,95,,,,
644,645,Krankenhaus Moabit,bus,A70,"52.52631363859675, 13.347762408358612",nan,626,Krankenhaus Moabit
645,646,Krankenhaus Tegel-Süd,bus,A13,"52.537054174493214, 13.39267078539966",nan,627,Krankenhaus Tegel-Süd
646,647,Krankenhaus Wannsee,bus,A51,"52.43102764694952, 13.164964517227903",nan,628,Krankenhaus Wannsee
647,648,Krankenhause Neukölln,strassenbahn,47,"52.43977054074335, 13.459359057866306",nan,629,Krankenhaus Neukölln
648,649,Kreuzbergstrasse,bus,A28,"52.48940663862394, 13.376689964763667",nan,630,Kreuzbergstrasse Ecke Kreuzbergstrasse
649,650,Kronprinzessinen Weg,bus,A18,"52.41994047416807, 13.17530094854083",nan,631,Kronprinzessinen Weg Ecke Potsdamer Chaussee
650,651,Krumme Lanke,u-bahn,"A II,B II","52.443333333333,13.241388888889",Q663945,633,Krumme Lanke metro station
651,652,Kurfürstendamm,bus,"A1,A60,AS2,AS3,A74,A10,A21","52.500599097108285, 13.31304940813286 +  52.498023305214666, 13.296217571157966",nan+ nan,634+ 10634,Kurfürstendamm Ecke Konstanzer Strasse +  Joachim-Friedrichstrasse Ecke Kurfürstendamm
652,653,Kurfürstenstr.,u-bahn,"B II,B I","52.5,13.361944444444",Q690203,636,Kurfürstenstraße metro station
653,654,Kurfürstenstrasse,bus,A33,"52.445643034300396, 13.36805209564975",nan,637,Kurfürstenstrasse Ecke Ringstrasse
654,655,Kurfürstenstrasse,u-bahn,A II,,,,
655,656,Kurische Strasse,bus,A9,"52.53541468899389, 13.439085794623837",nan,638,Kurische Strasse
656,657,Kurt-Fischer-Platz,bus,A7,"52.57973292845757, 13.398330728468228",nan,639,Kurt-Fischer-Platz
657,658,Kurt-Fischer-Platz,strassenbahn,"46,22","52.578668,13.3983016",Q65032974,640,Grabbeallee/Pastor-Niemöller-Platz
658,659,Kurt-Schumacher-Damme,bus,A65,"52.53691363313431, 13.29370181789795",nan,641,"Kurt-Schumacher-Damm, Jakob-Kaiser-Platz"
659,660,Kurt-Schumacher-Platz,bus,A21,"52.563438249109005, 13.32713028618972",nan,642,Kurt-Schumacher-Platz
660,661,Kurt-Schumacher-Platz,u-bahn,C I,"52.563555555556,13.326572222222",Q555916,643,Kurt-Schumacher-Platz
661,662,Köllnische Heide,s-bahn,KBS 100a,"52.4694,13.4675",Q800505,644,Köllnische Heide station
662,663,Köllnischer Platz,strassenbahn,"84,86",0,Q66363379,645,Köllnischer Platz
663,664,Königin-Elisabeth-Strasse,bus,"A65,A74","52.51841060617521, 13.280216309480307",nan,646,Königin-Elisabeth-Strasse Ecke Spandauer Damm
664,665,Königin-Elisabeth-Strasse,strassenbahn,"60,53,54","52.51841661774004, 13.280185271122395",nan,647,Königin-Elisabeth-Strasse
665,666,Königin-Luise-Strasse,bus,"A10,AS3","52.46046250414625, 13.274837141314253 +  52.45831794711095, 13.287027476333241",nan+ nan,648+ 10648,Königin-Luise-Strasse Ecke Clayallee +  Königin-Luise-Strasse Ecke Pacelliallee
666,667,Königs Wusterhausen,s-bahn,KBS 103,"52.2966,13.6311",Q178002,649,Königs Wusterhausen station
667,668,Königstor,bus,"O40,A57,A9","52.52520269485428, 13.419834994127731",nan,650,Königstor
668,669,Königstor,strassenbahn,"74E,74","52.52821600265539, 13.423869016265495",nan,651,Königstor
669,670,Königstrasse,bus,A6,"52.41987226002477, 13.175332944592043",nan,652,Königstrasse Ecke Kronprinzessinnenweg
670,671,Königstrasse/Kronprinzessinnenweg,bus,A51,"52.41989533124603, 13.17532169204708",nan,653,Königstrasse/Kronprinzessinnenweg
671,672,Köpenick,s-bahn,KBS 102,"52.4586,13.5808",Q800479,655,Berlin-Köpenick station
672,673,"Köpenick, Krankenhaus",bus,A27,"52.43861200573594, 13.592411258792163",nan,656,"Köpenick, Krankenhaus"
673,674,Köpenicker Landstrasse Ecke Baumschulenstrasse,strassenbahn,87,"52.46913201072182, 13.491340045687773",nan,658,Köpenicker Landstrasse Ecke Baumschulenstrasse
674,675,Köpenicker Strasse,bus,"A28,A52","52.417188859212956, 13.493835883883817",nan,659,Köpenicker Strasse Ecke Neuköllner Strasse
675,676,Köpenicker Strasse,strassenbahn,"47,84","52.420483475304536, 13.538745338445915",nan,660,Köpenicker Strasse
676,677,Körtingstrasse,bus,A77,,,,
677,678,Körtingstrasse,strassenbahn,15,,,,
678,679,Küstriner Platz,bus,"O30,O40",,,,
679,680,LPG Falkenberg,bus,A46,,,,
680,681,Landgericht,bus,"A65,A72","52.52698925988807, 13.297167647658592",nan,663,Landgericht
681,682,Landsberger Chaussee,strassenbahn,3,,,,
682,683,Lange Strasse,bus,A11,"52.42401188883506, 13.333131159875414",nan,664,Lange Strasse Ecke Lorenzstrasse
683,684,Langhans Strasse Ecke Gustav-Adolf-Strasse,bus,A45,"52.55362785776103, 13.434716400018274",nan,665,Langhans Strasse Ecke Gustav-Adolf-Strasse
684,685,Langhansstrasse Ecke Gustav-Adolf-Strasse,bus,A55,,,,
685,686,Lankwitz,s-bahn,KBS 106,"52.4386,13.3417",Q800481,666,Lankwitz station
686,687,"Lankwitz, Kirche",bus,"A32,A2","52.43629186979271, 13.345745387354132",nan,667,"Lankwitz, Kirche"
687,688,"Lankwitz, Kirche",strassenbahn,96,"52.43629411008752, 13.34577793920493",nan,668,"Lankwitz, Kirche"
688,689,Lauenburger Platz,bus,A75,,,,
689,690,Lauterplatz,strassenbahn,"73,74","52.475528954378376, 13.340160154844037",nan,670,Lauterplatz
690,691,Lehnitz,s-bahn,KBS 104,"52.7411,13.2635",Q4258498,671,Lehnitz station
691,692,Lehrter Stadtbahnhof,s-bahn,"KBS 101,KBS 102","52.5253,13.3694",Q821299,672,Berlin Lehrter Stadtbahnhof
692,693,Leibnizstrasse Ecke Kurfürstendamm,bus,A69,,,,
693,694,Leibnizstrasse Ecke Otto-Suhr-Allee,bus,A62,,,,
694,695,Leinestr.,u-bahn,D,"52.472777777778,13.428333333333",Q668563,674,Leinestraße
695,696,Leipziger Strasse Ecke Wilhelmstrasse,strassenbahn,74,,,,
696,697,Leninallee,s-bahn,"KBS 103a,KBS 106","52.5295,13.4548",Q800507,676,Berlin Landsberger Allee station
697,698,Leninallee,strassenbahn,"13,4","52.5259343,13.4462368",Q65553230,677,Landsberger Allee/Petersburger Straße
698,699,Leninplatz,bus,O40,"52.523238998562235, 13.433594583798834",nan,678,Leninplatz
699,700,Leninplatz,strassenbahn,"64,63,1","52.5232658,13.4326457",Q65553105,679,Platz der Vereinten Nationen
700,701,LeonorenStrasse,bus,"A32,A17","52.444386837647556, 13.338876103590831",nan,681,LeonorenStrasse Ecke Siemensstrasse
701,702,Leonorenstrasse Ecke Albrechstrasse,bus,A2,,,,
702,703,Leopoldplatz,bus,A64,,,,
703,704,Leopoldplatz,u-bahn,C I,"52.5465,13.3591",Q1960809,683,Leopoldplatz metro station
704,705,Lepsiusstrasse,bus,A68,"52.45883023513571, 13.315599065479873",nan,684,Lepsiusstrasse Ecke Grunewaldstrasse
705,706,Lerbaacher Weg Ecke Tautenbergstrasse,bus,A2,,,,
706,707,Lerchenstrasse,bus,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),,,,
707,708,"Letteplatz, Strassenbahnhof",bus,A71,"52.56410522486749, 13.371107480641978",nan,686,"Letteplatz, Strassenbahnhof"
708,709,Leuthingerweg,bus,A63,"52.54180680726089, 13.163727103711182",nan,687,Leuthingerweg Ecke Seegefelder Weg
709,710,Lichtenberg,s-bahn,KBS 101,"52.5106,13.4964",Q634247,688,Berlin-Lichtenberg station
710,711,Lichtenberger Strasse,strassenbahn,"72,74E,70,74",,,,
711,712,Lichtenrade,s-bahn,KBS 105,"52.3876,13.3963",Q6543354,689,Lichtenrade station
712,713,"Lichtenrade, Blohmstrasse Ecke Wünsdorfer Strasse",bus,AS2,,,,
713,714,"Lichtenrade, Goethestrasse",bus,AS2,"52.40437993547595, 13.406198387437845",nan,691,"Lichtenrade, Goethestrasse Ecke Lichtenrader Damm"
714,715,Lichtenrader Damm,bus,A52,"52.41457407591286, 13.401100479114065",nan,692,Lichtenrader Damm Ecke Marienfelder Chaussee
715,716,Lichterfelde Ost,s-bahn,KBS 106,"52.43,13.3289",Q111311299,693,S-Bahnhof Berlin Lichterfelde-Ost
716,717,Lichterfelde Süd,s-bahn,KBS 106,"52.41,13.3086",Q800482,694,Lichterfelde Süd station
717,718,Lichterfelde West,s-bahn,KBS 104,"52.4433,13.2947",Q111327103,695,S-Bahnhof Berlin Lichterfelde West
718,719,Lindauer Strasse,bus,"A71,A12","52.573719929631665, 13.351912686321713 +  52.573378512244474, 13.359026284637647",nan+ nan,696+ 10696,Lindauer Strasse Ecke Aroser Allee +  Lindauer Strasse Ecke Residenzstrasse
719,720,Lindauer Strasse Ecke Residenzstrasse,bus,A72,,,,
720,721,Lindenberg,bus,AL,"52.602597712625055, 13.5250306401055",nan,697,Lindenberg
721,722,Lindenstrasse,bus,A1,"52.41754704184675, 13.306637505969373",nan,699,Lindenstrasse Ecke Müllerstrasse
722,723,Lindenstrasse,strassenbahn,"96,78","52.50703628824205, 13.398245194666595",nan,700,Lindenstrasse Ecke Oranienstrasse
723,724,Lindenstrasse Ecke Bahnhofstrasse,strassenbahn,"83,95,84,86",0,Q66095701,701,Bahnhofstraße/Lindenstraße
724,725,Lindenthaler Allee,s-bahn,KBS 104,"52.4375,13.2325",Q315891,703,Berlin Mexikoplatz station
725,726,Lindenweg,bus,"A12,A14","52.58320838924275, 13.343677581838621",nan,704,Lindenweg Ecke Roedern Allee
726,727,Loewenhardtdamm,bus,A28,"52.48165790097863, 13.374453287679744",nan,705,Loewenhardtdamm Ecke Badener Ring
727,728,Louise-Schroeder-Platz,bus,A16,"52.55713317342601, 13.365513694540711",nan,706,Louise-Schroeder-Platz
728,729,Ludwigkirchstrasse/Pariser Strasse,bus,A60,"52.497535465268555, 13.324328066962357",nan,707,Ludwigkirchstrasse/Pariser Strasse
729,730,Luise-Schröder-Platz,bus,A72,,,,
730,731,Luisenplatz,bus,"A65,A21,A62,AS1","52.52005408723936, 13.2995133852506",nan,708,Luisenplatz
731,732,Luisenplatz,strassenbahn,"53,3,54,55","52.51951940474329, 13.300024347605849",nan,709,Luisenplatz
732,733,Lupsteiner Weg,bus,A10,"52.40950895120702, 13.251647735398342",nan,710,Lupsteiner Weg Ecke Sachtlebenstrasse
733,734,Lutherplatz,bus,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)",,,,
734,735,Lutherstrasse,bus,A29,"52.50104544166847, 13.34692193817342",nan,711,Lutherstrasse Ecke Kleiststrasse
735,736,Luxemburgplatz,u-bahn,A,"52.528333333333,13.410277777778",Q658790,712,Rosa-Luxemburg-Platz station
736,737,Luzerner Strasse,bus,A53,"52.42399460780493, 13.293333572320618",nan,713,Luzerner Strasse
737,738,Lynastrasse,bus,AS1,"52.54898935768741, 13.210225795636823",nan,714,Lynarstrasse Ecke Neuendorfer Strasse
738,739,Lynastrasse Ecke Neuendorfer Strasse,strassenbahn,"53,54",,,,
