stop_id,stop_name,type,location,in_lines,identifier,stop_description
194623,Badstr. Ecke Pankstr.,tram,"52.55227848989899, 13.381428333797949","['199', '24']",,
194624,Badstr. Ecke Pankstrassse,tram,"52.5523075512431, 13.381391516100862","['28', '128', '41', '141']",,
194625,Badstrassse,tram,"52.54862880712163, 13.387940970243234","['28', '128', '41', '141']",,
194626,Baerwaldstr. Ecke Gneisenaustr.,tram,"52.490331369885155, 13.400299112902015",['99'],,
194627,Bahnhof Mahlsdorf,omnibus,"52.512509114258, 13.612231040399239",['H'],,
194628,Bahnhof Schöneweide,tram,"52.45613201289592, 13.51033986454809",['91'],,
194629,Bahnhofstr.,tram,"52.38666976464739, 13.407955106521282",['99'],,
194630,Bahnhofstr.,tram,"52.40244986860125, 13.512704137216817",['83'],,
194631,Bahnhofstr. Ecke Lindenstr.,tram,"52.4505094,13.572684",['83'],Q66095701,
194632,Baltenplatz,tram,"52.519215,13.4525257","['65', '4']",Q65706258,
194633,Baumschulenstr.,tram,"52.460884119473235, 13.481278679734508","['95_a', '95_b']",,
194634,Baumschulenweg,s-bahn,"52.4675,13.489722","['KBS 100a', 'KBS 100c']",Q324336,
194635,Bayerischerplatz,tram,"52.48857550103818, 13.340030405284534",['3'],,
194636,Bayerischerplatz,u-bahn,"52.488333333333,13.340277777778",['B1'],Q668574,
194637,Bellevue,s-bahn,"52.52,13.348055555556","['KBS 101', 'KBS 100c']",Q374018,
194638,Bergstr.,tram,"52.48084525434906, 13.435357975110138",['6'],,
194639,Bergstr.,u-bahn,"52.476111111111,13.439166666667",['C'],Q519494,
194640,Berlinerallee Ecke Lichtenberger str.,tram,"52.55200136641885, 13.465720692557477",['8'],,
194641,"Berlinerallee, Antonplatz",tram,"52.5484803,13.4517416","['72', '60', '8']",Q65548849,
194642,Berlinerstr.,tram,"52.5894754993654, 13.283821595924584",['128'],,
194643,Berlinerstr. Ecke Dorfstr.,tram,"52.465924102673426, 13.38555668803175",['99'],,
194644,Berlinerstr. Ecke Humboldtstr.,tram,"52.569293845351886, 13.329886404982428",['68'],,
194645,Berlinerstr. Ecke Kaiserallee,tram,"52.487339334357976, 13.3309375952067",['3'],,
194646,Berlinerstr. Ecke Scharnweberstr.,tram,"52.56404993147306, 13.327860788039368",['68'],,
194647,Berlinerstr. Ecke Thielallee,omnibus,"52.44190329932344, 13.282795959916694",['5'],,
194648,Berlinerstr. Ecke Vinetastr.,tram,"52.55881651892184, 13.413474468962335","['49', '47']",,
194649,Berlinerstr. Ecke Wilmersdorferstr.,tram,"52.51811270120716, 13.304464937779839",['3'],,
194650,Berlinerstr. Ecke Seidelstr.,tram,"52.576294689156825, 13.294656859060982","['25', '28', '128', '41']",,
194651,Bernau,s-bahn,"52.6763,13.5931",['KBS 103'],Q479789,
194652,Bernauerstr.,u-bahn,"52.5375,13.396666666667",['D'],Q689293,
194653,Bernauerstr. Ecke Brunnenstr.,tram,"52.5382797167537, 13.39603248653666",['4'],,
194654,Betriebsbahnhof Schöneweide,s-bahn,"52.44676,13.52391","['KBS 100a', 'KBS 100c']",Q4526101,
194655,Beusselstr.,s-bahn,"52.534444444444,13.329166666667",['KBS 100'],Q323219,
194656,Bhf. Baumschulenweg,tram,"52.467479828977226, 13.48936207921958","['87_a', '87_b', '95_a', '95_b']",,
194657,Bhf. Bornholmerstr.,tram,"52.5548305,13.3962829",['8'],Q65676177,
194658,Bhf. Charlottenburg,tram,"52.50508698198708, 13.303282689162542","['75', '62']",,
194659,Bhf. Friedrichshagen,tram,"52.457326972958604, 13.625511399091163","['87_a', '87_b']",,
194660,Bhf. Friedrichstr.,u-bahn,"52.520111111111,13.388305555556",['C'],Q3753274,
194661,Bhf. Grünau,tram,"52.413493,13.5746802",['86'],Q62470512,
194662,Bhf. Halensee,tram,"52.49688327253505, 13.289515124907771",['76'],,
194663,Bhf. Heerstr.,tram,"52.50857975740797, 13.258353900023156",['75'],,
194664,Bhf. Hermannstr.,tram,"52.4678315178447, 13.431116763350932",['27'],,
194665,Bhf. Jungfernheide,tram,"52.53103413649224, 13.300559481238167",['55'],,
194666,Bhf. Kaulsdorf,omnibus,"52.511553392977326, 13.587295035057858",['H'],,
194667,Bhf. Köpenick,tram,"52.4582153,13.5790435",['83'],Q66370784,
194668,Bhf. Landsbergerallee,tram,"52.52856288091548, 13.455758715053463",['69'],,
194669,Bhf. Lansbergerallee,tram,"52.52854013868831, 13.455680403774341",['64'],,
194670,Bhf. Lichtenberg,tram,"52.5123603,13.4977547",['69'],Q66013733,
194671,Bhf. Lichtenberg,u-bahn,"52.5106,13.4964",['E'],Q634247,
194672,Bhf. Lichtenrade,tram,"52.38669305818232, 13.39694576786419",['99'],,
194673,Bhf. Mahlsdorf,tram,"52.51253960592773, 13.612269169915399",['83'],,
194674,Bhf. Mariendorf,tram,"52.447078310256, 13.361439800164863",['96'],,
194675,Bhf. Neukölln,tram,"52.469429556071695, 13.441761396090287",['6'],,
194676,Bhf. Nikolassee,omnibus,"52.43378197004219, 13.193152057415048",['17'],,
194677,Bhf. Pankow-Heinersdorf,tram,"52.5777355,13.4281593",['24'],Q66195804,
194678,Bhf. Papestr.,tram,"52.474088737380455, 13.363804736501839",['6'],,
194679,Bhf. Prenzlauerallee,tram,"52.5448075,13.427408","['72', '73']",Q65219791,
194680,Bhf. Schöneberg,tram,"52.479867391229774, 13.352797522353837",['6'],,
194681,Bhf. Schöneweide,tram,"52.45640818289644, 13.509916574756422","['95_a', '95_b']",,
194682,Bhf. Tempelhof,tram,"52.470773327648985, 13.385638027802058",['99'],,
194683,Bhf. Wannsee,omnibus,"52.42151302311533, 13.17810256503659",['17'],,
194684,Bhf. Wedding,u-bahn,"52.5425,13.366111",['C'],Q4018733,
194685,Bhf. Weißensee,tram,"52.540767536231364, 13.438418814778837",['60'],,
194686,Biesdorf,s-bahn,"52.5131,13.5554",['KBS 101'],Q4892357,
194687,Biesdorf-Süd,omnibus,"52.49390691698614, 13.561942550423845",['D'],,
194688,Birkenwerder,s-bahn,"52.6885,13.2888",['KBS 104'],Q2343634,
194689,Bismarckplatz,tram,"52.57979168986186, 13.398319596978663","['199', '47', '23']",,
194690,Bismarckstr.,tram,"52.580570918026496, 13.401710070736616",['47'],,
194691,Blankenburg,s-bahn,"52.5915,13.4435",['KBS 103'],Q800469,
194692,Boddinstr.,u-bahn,"52.48,13.425277777778",['D'],Q819495,
194693,Borgsdorf,s-bahn,"52.7155,13.2764",['KBS 104'],Q4093486,
194694,Bornholmerstr.,s-bahn,"52.554287,13.397985","['KBS 104', 'KBS 105', 'KBS 103']",Q32662318,
194695,Bornholmerstr.,tram,"52.5537705,13.4138898",['8'],,
194696,Bornholmerstr. Ecke Schönhauserallee,tram,"52.5537705,13.4138898",['8'],Q65076842,
194697,Botanischer Garten,s-bahn,"52.44806,13.30722",['KBS 104a'],Q800498,
194698,Brandenburger Tor,omnibus,"52.51776764730101, 13.370281416321609",['9'],,
194699,Brandenburgischestr.,tram,"52.50008221195205, 13.306978939890724","['3', '62']",,
1946100,Breitestr. Ecke Berlinerstr.,tram,"52.57099160012513, 13.40999970857956","['49', '24', '47']",,
1946101,Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556",['A2'],Q571339,
1946102,"Britz, Rudowerstr.",tram,"52.44286829705947, 13.45615959331519",['147'],,
1946103,Brunnenstr.,tram,"52.5324542,13.3974236","['199', '28', '128', '41', '24', '141']",Q65691740,
1946104,"Brunnenstr., Gesundbrunnen",tram,"52.54842580988483, 13.388018631243888","['24', '28', '128', '41', '141', '199']",,
1946105,Buch,s-bahn,"52.6359,13.4917",['KBS 103'],Q4892359,
1946106,Buchholz,tram,"52.619072064369824, 13.393383358408967","['49', '24']",,
1946107,Buckow,tram,"52.42355261827082, 13.436838614074265",['27'],,
1946108,"Buckow-Ost, Rudowerstr.",tram,"52.43428074617617, 13.469028794063673",['147'],,
1946109,Buckower Ch.,s-bahn,"52.4103,13.3829",['KBS 105a'],Q800499,
1946110,Buckowerchaussee,tram,"52.43210375221334, 13.435048135233718",['27'],,
1946111,Bulgarischestr.,tram,"52.48142358933512, 13.473067363351124",['91'],,
1946112,Buschkrug,tram,"52.452470895695484, 13.450748195174354",['147'],,
1946113,Börse,s-bahn,"52.5226,13.4022","['KBS 101', 'KBS 100c']",Q689312,
1946114,Carl-Schurzstr.,tram,"52.53759585854496, 13.203799788543511","['54', '75']",,
1946115,Carolinenstr. Ecke Conradshöherchaussee,tram,"52.597963503369265, 13.275045981437504",['128'],,
1946116,Carstennstr.,tram,"52.432751581042794, 13.287050510011854",['77'],,
1946117,Charlottenburg,s-bahn,"52.504722222222,13.303333333333","['KBS 101', 'KBS 100c']",Q111326217,
1946118,"Charlottenburg, Knie",omnibus,"52.512535145950686, 13.321796492553819",['9'],,
1946119,"Charlottenburg, Königin-Elisabehtstr.",tram,"52.518592490142176, 13.283070656683321",['62'],,
1946120,Charlottenburgerchaussee,omnibus,"52.513938592229856, 13.350204275572693",['9'],,
1946121,"Charlottenburgerchaussee, U-Bhf. Ruhleben",tram,"52.52600471402874, 13.241309892919059",['54'],,
1946122,Chauseestr. Ecke Blaschkoallee,tram,"52.452665402462785, 13.438541176798315",['27'],,
1946123,Chausseestr.,tram,"52.43937787982445, 13.387599101427494",['99'],,
1946124,Chausseestr.,tram,"52.444151379426934, 13.433518263070448",['27'],,
1946125,Chausseestr.,tram,"52.52716975261716, 13.387046161831702",['1'],,
1946126,Conradshöherchaussee,tram,"52.58905755725733, 13.240889150790816",['28'],,
1946127,Conradshöherchaussee Ecke Carolinenstr.,tram,"52.59789482528517, 13.275115353233018",['28'],,
1946128,Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444",['A2'],Q668585,
1946129,Dahlewitz,s-bahn,"52.326389,13.419722",['KBS 105a'],Q5208886,
1946130,"Dahlwitz, Kol. Waldesruh",omnibus,"52.478269416919034, 13.62093701953678",['D'],,
1946131,Dammbrücke,tram,"52.44841874575463, 13.574648976218885","['83', '95_a', '95_b']",,
1946132,Danzigerstr.,u-bahn,"52.541666666667, 13.412222222222",['A'],Q571382,
1946133,Danzigerstr. Ecke Schönhauserallee,tram,"52.54104742454958, 13.412165003566182",['4'],,
1946134,Dorfstr.,tram,"52.46605116645637, 13.37863626316366",['6'],,
1946135,Dorfstr. Ecke Berlinerstr.,tram,"52.46590130350415, 13.38556580514773",['6'],,
1946136,Dorotheenstr.,tram,"52.518718761338874, 13.388522669782862",['1'],,
1946137,Dreilinden,s-bahn,"52.40334210617422, 13.175963626814108",['KBS 104a'],Q96473908,
1946138,Dönhoffplatz,omnibus,"52.51104121136219, 13.39862526380472",['1'],,
1946139,Dönhoffplatz,tram,"52.509950568117645, 13.398144081918815","['87_a', '87_b', '74']",,
1946140,Eichbornstr.,s-bahn,"52.5776,13.3169",['KBS 105'],Q800500,
1946141,Eichkamp,s-bahn,"52.4987,13.2702",['KBS 100c'],Q800504,
1946142,Elbingerstr. Ecke Lansbergerallee,tram,"52.5264128560996, 13.447642432361302",['4'],,
1946143,Elbingerstr. Ecke Prenzelauerallee,tram,"52.5396522,13.4244789",['4'],Q65222180,
1946144,Eldenaerstr.,tram,"52.520416962203576, 13.473386263465185",['65'],,
1946145,Erkstr.,tram,"52.481710013190636, 13.440170901917053",['6'],,
1946146,Exerzierstr.,tram,"52.55374755712111, 13.377246753472674","['28', '128', '41', '141']",,
1946147,Fehrbellinerplatz,tram,"52.49032472677901, 13.314317300484289","['3', '62']",,
1946148,Fehrbellinerplatz,u-bahn,"52.490277777778,13.314444444444",['A2'],Q663245,
1946149,Fennstr.,tram,"52.54108945864209, 13.368519561996605",['23'],,
1946150,Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",['KBS 104a'],Q800501,
1946151,Flughafen,omnibus,"52.470965141866394, 13.385641462324475",['1'],,
1946152,Forkenbeckplatz,tram,"52.5201985,13.4585731",['65'],Q66044398,
1946153,Frankfurterallee,omnibus,"52.51348352208039, 13.476830323062508",['1'],,
1946154,Frankfurterallee,s-bahn,"52.514166666667,13.474722222222",['KBS 100'],Q111250033,
1946155,Frankfurterallee,u-bahn,"52.513638888889,13.475694444444",['E'],Q3752007,
1946156,Frankfurterallee Ecke Gürtelstr.,omnibus,"52.51348326435681, 13.476984666930822",['1'],,
1946157,Frankfurterallee Ecke Warschauerstr.,omnibus,"52.5158293510385, 13.453999993701924",['1'],,
1946158,Franz-Mehringstr.,omnibus,"52.49508128500466, 13.389323838894562",['1'],,
1946159,Franz-Mehringstr.,u-bahn,"52.493888888889,13.388333333333",['C'],Q657905,
1946160,Franz-Mehringstr. Ecke Gneisenaustr.,tram,"52.49289753565708, 13.387758933826115",['99'],,
1946161,Französischestr.,u-bahn,"52.514722222222,13.389166666667",['C'],Q571479,
1946162,Freybrücke,tram,"52.511784691779035, 13.203183873771536",['75'],,
1946163,Friedenau,s-bahn,"52.47,13.341",['KBS 104a'],Q800471,
1946164,"Friedenau, Friedrich-Wilhelm-Platz",tram,"52.471981070085796, 13.328404849316785",['77'],,
1946165,"Friedenau, Rheinstr.",tram,"52.465007265543484, 13.32855730681896","['74', '77']",,
1946166,Friedrich-Karl-str.,tram,"52.45582815857282, 13.383932790023245",['99'],,
1946167,Friedrichsfelde,u-bahn,"52.506111111111,13.512777777778",['E'],Q429781,
1946168,Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",['KBS 101'],Q800473,
1946169,Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","['KBS 101', 'KBS 100c', 'KBS 104a']",Q111219456,
1946170,Friedrichstr.,tram,"52.51986268004412, 13.388183618668693",['1'],,
1946171,Frohnau,s-bahn,"52.6325,13.2902",['KBS 104'],Q800472,
1946172,Fruchtstr.,omnibus,"52.5121233087592, 13.438416859495533",['1'],,
1946173,Fürst-Bismarckstr.,tram,"52.52081005309171, 13.372234861490762",['21'],,
1946174,Fürstenwalderdamm,tram,"52.4498638,13.661534","['87_a', '87_b']",Q66361484,
1946175,Gardepionierplatz,tram,"52.48915625862438, 13.407771678016932",['3'],,
1946176,Gardepionierplatz,u-bahn,"52.489444444444,13.407777777778",['C'],Q656081,
1946177,Gartenfeld,s-bahn,"52.54695,13.24882",['KBS 100b'],Q96080469,
1946178,Germaniastr.,tram,"52.46053782557012, 13.418009045149528",['6'],,
1946179,Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","['KBS 104', 'KBS 105', 'KBS 100', 'KBS 103']",Q111239092,
1946180,Gesundbrunnen,u-bahn,"52.548611,13.389444",['D'],Q3761416,
1946181,Giesestr.,omnibus,"52.516082749660676, 13.598007724215872",['H'],,
1946182,Gleisdreieck,u-bahn,"52.49952,13.37409",['A'],Q678372,
1946183,Gneisenausstr.,tram,"52.49118173025337, 13.396394305880412",['3'],,
1946184,Gneisenaustr.,u-bahn,"52.491388888889,13.395555555556",['C'],Q668618,
1946185,Goebenstr.,tram,"52.493927894212824, 13.36386105025039",['3'],,
1946186,Goltzstr.,tram,"52.48987556540933, 13.353165536219167",['3'],,
1946187,Gottlieb-Dunkelstr.,tram,"52.46039602352925, 13.418101877605094",['6'],,
1946188,Gotzkowskystr.,tram,"52.52567490695968, 13.330198327307098","['3', '55']",,
1946189,Grabbeallee,tram,"52.57107235599751, 13.39822592061002","['199', '47', '23']",,
1946190,Greifswalderstr.,s-bahn,"52.539722222222,13.439444444444",['KBS 100'],Q439246,
1946191,Greifswalderstr.,tram,"52.5364975,13.4334045",['60'],Q65548960,
1946192,Greifswalderstr. Ecke Danzigerstr.,tram,"52.5364975,13.4334045",['60'],Q65548960,
1946193,Grenadierstr.,tram,"52.53233657156798, 13.20770038531928",['54'],,
1946194,Grenzallee,u-bahn,"52.463333333333,13.443888888889",['C'],Q571836,
1946195,Griebnitzsee,s-bahn,"52.3944,13.1272",['KBS 101'],Q315133,
1946196,Großgörschenstr.,s-bahn,"52.4922745,13.3678588",['KBS 104a'],Q21776726,
1946197,Grunewald,s-bahn,"52.4892,13.2614",['KBS 101'],Q457266,
1946198,"Grunewald, Hubertusallee",tram,"52.4896134950935, 13.28467047123755",['75'],,
1946199,Grunewaldstr.,tram,"52.489099571674906, 13.344928521367574",['3'],,
1946200,Grunewaldstr.,tram,"52.530183742982004, 13.20472327952269",['54'],,
1946201,Grünau,s-bahn,"52.4122,13.5746","['KBS 100a', 'KBS 100c']",Q111307258,
1946202,Gustav-Adolfstr. Ecke Langhansstr.,tram,"52.5536867,13.4343757",['8'],Q65922653,
1946203,Gustav-Adolfstr. Ecke Prenzlauerallee,tram,"52.551709529197026, 13.430370964345377",['72'],,
1946204,Görlitzer Bahnhof,u-bahn,"52.4992,13.428",['B'],Q597759,
1946205,Gürtelstr. Ecke Frankfurterallee,tram,"52.5135267127755, 13.477083855609834",['8'],,
1946206,Hackescher Markt,tram,"52.522700593509725, 13.401605863643521",['1'],Q65094590,
1946207,Hafenplatz,tram,"52.542292547760184, 13.206201126048732","['54', '75']",,
1946208,Hagenplatz,tram,"52.48338876739213, 13.26583142929224",['76'],,
1946209,Hakenfelde,tram,"52.57886009874865, 13.210057800310379",['75'],,
1946210,Halensee,s-bahn,"52.4961,13.2906",['KBS 100'],Q800476,
1946211,Halensee,tram,"52.4968906371703, 13.28953411069346",['75'],,
1946212,Hallesches Tor,omnibus,"52.49794750808006, 13.391726405887525",['1'],,
1946213,Hallesches Tor,u-bahn,"52.497777777778,13.391111111111","['B', 'C']",Q658302,
1946214,"Haselhorst, Gartenfelderstr.",tram,"52.54415774195884, 13.247126131065503",['55'],,
1946215,Hauptstr. Ecke Mühlenstr.,tram,"52.48181232696976, 13.348271486759423",['74'],,
1946216,Hauptstr. Ecke Residenzstr.,tram,"52.57425115897413, 13.359165566408976",['41'],,
1946217,Heerstr.,s-bahn,"52.5086,13.2586",['KBS 100c'],Q800502,
1946218,Heerstr.,tram,"52.50679898205845, 13.228382146205346",['75'],,
1946219,Heidelbergerplatz,u-bahn,"52.479808333333,13.313236111111",['A2'],Q21777872,
1946220,Heiligensee,s-bahn,"52.6247,13.2292",['KBS 105'],Q800475,
1946221,Heiligensee,tram,"52.611249613775165, 13.217475242109284",['128'],,
1946222,Heinersdorf,tram,"52.5725511,13.4371063",['73'],Q65096052,
1946223,Hennigsdorf,s-bahn,"52.638,13.2057",['KBS 105'],Q800909,
1946224,Hermannplatz,tram,"52.487085572732276, 13.424752445258537","['95_a', '95_b']",,
1946225,Hermannplatz,u-bahn,"52.48629,13.42455","['D', 'C']",Q658929,
1946226,Hermannstr.,s-bahn,"52.4675,13.431111111111","['KBS 100a', 'KBS 100']",Q111263802,
1946227,Hermannstr.,tram,"52.46476232618638, 13.432818109719008",['27'],,
1946228,Hermannstr. Ecke Leinestr.,tram,"52.473415687320596, 13.42814231816192",['27'],,
1946229,Hermsdorf,s-bahn,"52.6178,13.3069",['KBS 104'],Q263189,
1946230,Herzbergstr.,tram,"52.52637,13.499036",['69'],Q65684891,
1946231,Hindenburgdamm,tram,"52.44956203989038, 13.315244235516836","['74', '77']",,
1946232,Hindenburgplatz,tram,"52.516248900919734, 13.376820910193624","['21', '1']",,
1946233,Hohen-Neuendorf,s-bahn,"52.6684,13.287",['KBS 104'],Q4500489,
1946234,"Hohenschönhausen, Degenerstr.",tram,"52.54490141528032, 13.494008455722605",['64'],,
1946235,Hohenschönhauserstr.,tram,"52.5359329,13.4729468",['64'],Q65553684,
1946236,Hohenschöpping,s-bahn,"52.67,13.1945",['KBS 105'],Q19274489,
1946237,Hohenzollerndamm,s-bahn,"52.4885,13.3004",['KBS 100'],Q800503,
1946238,Hohenzollerndamm,tram,"52.48810038121649, 13.300864203881337",['62'],,
1946239,Hohenzollernplatz,u-bahn,"52.493888888889,13.325",['A2'],Q571570,
1946240,Holzmarkstr.,omnibus,"52.51470310432635, 13.420502137148215",['1'],,
1946241,Hubertusallee,tram,"52.49393097226469, 13.285088023116971",['76'],,
1946242,Hultschinerdamm,tram,"52.504869219031704, 13.61340287328306",['83'],,
1946243,Humboldthain,s-bahn,"52.5451,13.3796","['KBS 104', 'KBS 105', 'KBS 103']",Q481276,
1946244,Humboldtstr.,tram,"52.57114181127418, 13.33691826709435",['41'],,
1946245,Humboldtstr. Ecke Berlinerstr.,tram,"52.56934226500555, 13.329932575290279",['41'],,
1946246,Händelplatz,tram,"52.450279094879285, 13.315466784727654",['77'],,
1946247,Hönow,omnibus,"52.54667360464534, 13.637391352821227",['H'],,
1946248,Hönowerstr.,omnibus,"52.53004028967899, 13.626841841614464",['H'],,
1946249,Innsbruckerplatz,s-bahn,"52.4786,13.3439",['KBS 100'],Q111263876,
1946250,Innsbruckerplatz,tram,"52.47851767561872, 13.344017066649423",['74'],,
1946251,Innsbruckerplatz,u-bahn,"52.4786,13.3439",['B1'],Q10275871,
1946252,Invalidenstr.,tram,"52.5324542,13.3974236",['1'],Q65691740,
1946253,Iranischestr. Ecke Reinickendorferstr.,tram,"52.55505275926564, 13.365961269070542","['28', '128']",,
1946254,Jannowitzbrücke,s-bahn,"52.514822222222,13.41795","['KBS 101', 'KBS 100c']",Q27955427,
1946255,Jannowitzbrücke,tram,"52.515457420985356, 13.418089138640552",['82'],,
1946256,Jannowitzbrücke,u-bahn,"52.515656,13.418185",['D'],Q27955418,
1946257,Jerusalemerstr.,omnibus,"52.50710477957293, 13.398277044768834",['1'],,
1946258,Joachimstalerstr.,tram,"52.506165255073356, 13.332370644735395",['76'],,
1946259,Joachimstalerstr. Ecke Kurfürstendamm,tram,"52.50381697461937, 13.33130084073772",['77'],,
1946260,Johannisthal,tram,"52.44125939829667, 13.500336959618494",['91'],,
1946261,Jostystr.,tram,"52.5260897953295, 13.417583280684354",['60'],,
1946262,Jungfernheide,s-bahn,"52.53035,13.299433333333","['KBS 100b', 'KBS 100']",Q110977325,
1946263,Kaiserallee Ecke Berlinerstr.,tram,"52.487334054837376, 13.331062759957598",['77'],,
1946264,Kaiserallee Ecke Spichernstr.,tram,"52.4959470039677, 13.330862745431165",['77'],,
1946265,Kaiserdamm,tram,"52.50999107107441, 13.281861072383021",['75'],,
1946266,Kaiserdamm,u-bahn,"52.51,13.2822",['A1'],Q656409,
1946267,Kaiserin-Augusta-Allee Ecke Tauroggenerstr.,tram,"52.52584246725217, 13.301966640315474",['3'],,
1946268,Kaiserin-Augusta-Allee Ecke Wiebestr.,tram,"52.52580545289568, 13.317995895056958",['55'],,
1946269,Kantstr.,tram,"52.5066581876951, 13.306688471208883","['75', '77', '62']",,
1946270,"Karlshorst, Treskowallee",tram,"52.47857308487424, 13.524470348260262",['69'],,
1946271,Karlshorsterchaussee,tram,"52.47736457956281, 13.523845173794296",['69'],,
1946272,Karow,s-bahn,"52.615,13.4692",['KBS 103'],Q111324168,
1946273,Kaulsdorf,s-bahn,"52.5121,13.5904",['KBS 101'],Q800478,
1946274,"Kaulsdorf-Süd, Zimmermannstr.",omnibus,"52.48662646660428, 13.560368748996797",['D'],,
1946275,Kirschallee,tram,"52.60258075932391, 13.238750616951076",['128'],,
1946276,Kladow,ferry,"52.45151498638808, 13.147961938847912",['Wannsee-Pichelsberg'],,
1946277,Klosterstr.,u-bahn,"52.516111111111, 13.412222222222",['A'],Q657893,
1946278,Klosterstr. Ecke Seeburgerstr.,tram,"52.52912529066992, 13.195598561644342",['75'],,
1946279,Knesebeckstr.,tram,"52.4668944843566, 13.435710471027722",['6'],,
1946280,Knie,u-bahn,"52.511944444444,13.322222222222",['A1'],Q658361,
1946281,Kochstr.,u-bahn,"52.505897222222,13.390611111111",['C'],Q201849,
1946282,Kopenhagenerstr.,tram,"52.57425957923555, 13.359163922630154",['141'],,
1946283,Kottbusser Tor,u-bahn,"52.499166666667,13.418055555556","['B', 'D']",Q819768,
1946284,Kraftwerk Klingenberg,tram,"52.4881374,13.4958685",['13'],Q66079524,
1946285,Kranoldplatz,tram,"52.42782085368502, 13.326575786308617",['96'],,
1946286,Krumme Lanke,u-bahn,"52.443333333333,13.241388888889",['A2'],Q663945,
1946287,Kurfürstendamm,tram,"52.500053170346966, 13.306918433906269",['76'],,
1946288,Kurfürstendamm Ecke Wilmersdorferstr.,tram,"52.49999422161237, 13.30705312471225",['76'],,
1946289,Kurfürstenstr.,u-bahn,"52.5,13.361944",['A'],Q690203,
1946290,Köllnische Heide,s-bahn,"52.4694,13.4675",['KBS 100a'],Q800505,
1946291,Königsplatz,tram,"52.518581320085175, 13.37089835391381",['21'],,
1946292,Königstr.,omnibus,"52.41987226002477, 13.175332944592043","['17', '9']",,
1946293,"Köpenick, Bellevuestr.",tram,"52.45511405449567, 13.592192332042357","['87_a', '87_b']",,
1946294,"Köpenick, Krankenhaus",omnibus,"52.43861200573594, 13.592411258792163",['27'],,
1946295,"Köpenick, Krankenhaus",tram,"52.4388396,13.5920763","['95_a', '95_b']",Q66091900,
1946296,"Köpenick, Marienhain über Wendenschloßstr.",tram,"52.434229826688906, 13.582923617411431",['83'],,
1946297,Köpenickerchaussee,tram,"52.49227064042966, 13.49157012299555",['13'],,
1946298,Köpenicker Landstr.,tram,"52.47976607269788, 13.475523898896808","['87_a', '87_b', '95_a', '95_b']",,
1946299,Köpenicker Landstr. Ecke Baumschulenstr.,tram,"52.46913201072182, 13.491340045687773",['91'],,
1946300,Köpenickerstr.,tram,"52.505757518022115, 13.431947867729278","['87_a', '87_b']",,
1946301,Kürstrinerplatz,omnibus,"52.5137005363457, 13.43784219276966",['1'],,
1946302,Landsbergerallee,s-bahn,"52.5295,13.4548",['KBS 100'],Q800507,
1946303,Landsbergerallee Ecke Elbingerstr.,tram,"52.5264128560996, 13.447642432361302","['64', '69']",,
