Unnamed: 0,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency,Length (km)
34,194635,1946,73,strassenbahn,Heinersdorf<> Rathaus ,0,both/unkown,15,
35,194636,1946,74,strassenbahn,"Lichterfelde, Händelplatz<> Spittelmarkt",10,both/unkown,5,
36,194637,1946,75,strassenbahn,Hakenfelde<> Alt-Pichelsdorf ,10,both/unkown,5,
37,194638,1946,75,strassenbahn,"Freybrücke<> Grunewald, Hubertusallee",0,both/unkown,15,
38,194639,1946,76,strassenbahn,Joachimstaler Strasse<> Roseneck,0,both/unkown,15,
39,194640,1946,77,strassenbahn,"Lichterfelde-Süde, Goerzallee Ecke Appenzeller Strasse<> Kantstrasse ",0,both/unkown,10,
40,194641,1946,82,strassenbahn,Molkenmarkt<> Markgrafendamm,0,both/unkown,15,
41,194642,1946,83,strassenbahn ,"Köpenick, Marienhain über Wendenschloßstrasse<> Bhf. Mahlsdorf",0,both/unkown,20,
42,194643,1946,86,strassenbahn,Bhf. Grünau<> Schmöckwitz,0,both/unkown,20,
43,194644,1946,87,strassenbahn,Dönhoffplatz<> Rahnsdorf,30,both/unkown,10,
44,194645,1946,91,strassenbahn,"Treptow, Rathaus<> Johannisthal",0,both/unkown,15,
45,194646,1946,95,strassenbahn,"Hermannplatz <> Köpenick, Krankenhaus",15,both/unkown,7,
46,194647,1946,96,strassenbahn,Machnower Schleuse<> Bhf. Tempelhof,0,both/unkown,15,
47,194648,1946,99,strassenbahn,Baerwaldstrasse Ecke Gneisenaustrasse<> Bhf. Lichtenrade,10,both/unkown,5,
48,194649,1946,199,strassenbahn,Nordend<> Ramlerstrasse,15,both/unkown,10,
49,194650,1946,KBS 100,s-bahn,Gesundbrunnen<> Gesundbrunnen,0,both/unkown,10,
50,194651,1946,KBS 100a,s-bahn,Hermannstr.<> Grünau,0,both/unkown,30,
51,194652,1946,KBS 100b,s-bahn,Jungfernheide<> Gartenfeld,0,both/unkown,30,
52,194653,1946,KBS 100c,s-bahn,Spandau<> Grünau,0,both/unkown,30,
53,194654,1946,KBS 100d,s-bahn,Schöneweide<> Spindlersfeld,0,both/unkown,30,
54,194655,1946,KBS 103,s-bahn,Bernau <> Stettiner Bahnhof,0,both/unkown,30,
55,194656,1946,KBS 103,s-bahn,Potsdamer Platz<> Lichterfelde Süd,0,both/unkown,30,
56,194657,1946,KBS 104,s-bahn,Oranienburg<> Stettiner Bahnhof,0,both/unkown,30,
57,194658,1946,KBS 104a,s-bahn,Friedrichstr.<> Dreilinden,0,both/unkown,30,
58,194659,1946,KBS 105,s-bahn,Velten <> Stettiner Bahnhof,60,both/unkown,30,
59,194660,1946,KBS 105a,s-bahn,Potsdamer Platz<> Rangsdorf,40,both/unkown,40,
60,194661,1946,KBS 101,s-bahn,Potsdam<> Kaulsdorf,15,both/unkown,15,
61,194662,1946,A,u-bahn,"Pankow, Vinetastrasse<> Wittenbergplatz",10,both/unkown,7,
62,194663,1946,A1,u-bahn,Wittenbergplatz<> Ruhleben,10,both/unkown,10,
63,194664,1946,A2,u-bahn,Wittenbergplatz<> Krumme Lanke,10,both/unkown,10,
64,194665,1946,B,u-bahn,Hallesches Tor<> Warschauer Brücke,12,both/unkown,12,
65,194666,1946,B1,u-bahn,Innsbrucker Platz<> Nollendorfplatz,10,both/unkown,10,
66,194667,1946,B2,u-bahn,Wittenbergplatz<> Uhlandstrasse,10,both/unkown,10,
67,194668,1946,C,u-bahn,Seestrasse<> Grenzallee,7,both/unkown,6,
68,194669,1946,D,u-bahn,Gesundbrunnen<> Leinestrasse,7,both/unkown,6,
69,194670,1946,E,u-bahn,Alexanderplatz<> Friedrichsfelde,10,both/unkown,10,
70,194671,1946,Wannsee-Pichelsberg,Fähre,"Pichelsberg, Stössenseebrücke<> Wannsee",120,both/unkown,120,
0,19511,1951,1,strassenbahn,Hallesches Tor (Stresemannstrasse)<> Charlottenstrasse Ecke Unter den Linden,0,both/unkown,12,
1,19512,1951,2,strassenbahn,Werftstrasse Ecke Alt-Moabit<> Mansteinstrasse (Bhf. Großgörschenstrasse),0,both/unkown,15,
2,19513,1951,3,strassenbahn,Osloerstrasse Ecke Grüntalerstrasse<> Hermannplatz,0,both/unkown,15,
3,19514,1951,3,strassenbahn,"Osloerstrasse Ecke Grüntalerstrasse<> Treptow, Elsenstrasse",0,both/unkown,20,
4,19515,1951,4,strassenbahn,Strelitzerstrasse Ecke Bernauerstrasse<> Schlesisches Tor,0,both/unkown,12,
5,19516,1951,6,strassenbahn,Kurfürstendamm Ecke Joachimstalerstrasse<> Elsenstrasse Ecke Heidelbergerstrasse,0,both/unkown,15,
6,19517,1951,13,strassenbahn,Kraftwerk Klingenberg<> Leninallee Ecke Dimitroffstrasse,0,both/unkown,16,
7,19518,1951,14,strassenbahn,Bersarinplatz<> Scheffelstrasse Ecke Möllendorferstrasse,0,both/unkown,17,
8,19519,1951,15,strassenbahn,"Marienfelde, Daimlerstrasse<> Neukölln, Schulenburgpark",0,both/unkown,15,
9,195110,1951,21,strassenbahn,"Moabit, Wiebestrasse<> Friesenstrasse Ecke Schwiebusserstrasse",0,both/unkown,115,
10,195111,1951,23,strassenbahn,"Rosenthal, Quickbornerstrasse<> Augustenburger Platz (Virchow-Krankenhaus)",0,both/unkown,15,
11,195112,1951,24,strassenbahn,"Buchholz, Hauptstrasse<> Rügenerstrasse Ecke Brunnenstrasse",0,both/unkown,15,
12,195113,1951,25,strassenbahn,"Tegel, Alt-Tegel<> Schöneberg, Gotenstrasse",0,both/unkown,15,
13,195114,1951,26,strassenbahn,"Görlitzer Bhf., Spreewaldplatz<> Wilhelm-Borgmann Brücke",0,both/unkown,15,
14,195115,1951,27,strassenbahn,"Neukölln, Hermannplatz<> Buckow-West, Alt-Buckow",0,both/unkown,15,
15,195116,1951,28,strassenbahn,"Tegelort, Kurzestrasse<> Rügenesrstrasse Ecke Brunnenstrasse",0,both/unkown,30,
16,195117,1951,29,strassenbahn,"Heiligensee, Dorfaue<> Rügenesrstrasse Ecke Brunnenstrasse",0,both/unkown,30,
17,195118,1951,35,strassenbahn,"Siemensstadt (Verwaltungsgebäude)<> Wilhelmsruh, Hauptstrasse",0,both/unkown,15,
18,195119,1951,36,strassenbahn,"Wilhelmsruh, Hauptstrasse<> Rügenerstrasse Ecke Brunnenstrasse",0,both/unkown,15,
19,195120,1951,40,strassenbahn,"Dahlem, Clayallee<> Steglitz, Birkbuschstrasse Ecke Siemensstrasse",0,both/unkown,15,
20,195121,1951,41,strassenbahn,"Tegel, Alt-Tegel<> Rügenerstrasse Ecke Brunnenstrasse",0,both/unkown,15,
21,195122,1951,44,strassenbahn,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstrasse Ecke Siemensstrasse",0,both/unkown,17,
22,195123,1951,46,strassenbahn,"Nordend, Kaiser-Wilhelm-Strasse<> Dönhoffplatz",0,both/unkown,15,
23,195124,1951,47,strassenbahn,"Hermannplatz<> Rudow, Stadtgrenze",0,both/unkown,12,
24,195125,1951,49,strassenbahn,"Buchholz, Hauptstrasse<> Große Präsidentenstrasse",0,both/unkown,15,
25,195126,1951,51,strassenbahn,Roseneck<> Bhf. Zoo,0,both/unkown,15,
26,195127,1951,54,strassenbahn,"Spandau, Johannesstift<> U-Bhf. Richard-Wagner-Platz, Wintersteinstrasse",0,both/unkown,20,
27,195128,1951,55,strassenbahn,"Spandau, Nauener Strasse<> Kurfürstendamm v. Marmorhaus",0,both/unkown,15,
28,195129,1951,57,strassenbahn,Emser Platz<> Roseneck,0,both/unkown,10,
29,195130,1951,60,strassenbahn,"Königin-Elisabeth-Strasse Ecke Kaiserdamm<> Lindenhof, Eythstrasse",0,both/unkown,15,
30,195131,1951,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz, Krausenstrasse",0,both/unkown,15,
31,195132,1951,65,strassenbahn,"Hackescher Markt<> Loeperplatz, Scheffelstrasse",0,both/unkown,15,
32,195133,1951,66,strassenbahn,"Schöneberg, Belzigerstrasse (Straßenbahnhof)<> Schöneberg, Thorwaldsenstrasse (August-Viktoria-Krankenhaus",0,both/unkown,15,
33,195134,1951,68,strassenbahn,"Wittenau, Nordbahn<> Nettelbeckplatz",0,both/unkown,15,
34,195135,1951,69,strassenbahn,Hackescher Markt<> Wilhelminenhofstrasse Ecke Edisonstrasse,0,both/unkown,16,
35,195136,1951,70,strassenbahn,"Weißensee, Buschallee<> Kupfergraben",0,both/unkown,12,
36,195137,1951,71,strassenbahn,"Heinersdorf, Helgestrasse<> Jüdenstrasse, Rathaus",0,both/unkown,10,
37,195138,1951,72,strassenbahn,"Weißensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",0,both/unkown,10,
38,195139,1951,73,strassenbahn,"Bhf. Lichterfelde-Ost<> Rennbahnstrasse, Weißensee",0,both/unkown,20,
39,195140,1951,74,strassenbahn,"Lichtefelde, Finckensteinallee<> Rennbahnstrasse, Weißensee",0,both/unkown,20,
40,195141,1951,75,strassenbahn,Spandau Hakenfelde<> Bhf. Zoo,0,both/unkown,10,
41,195142,1951,76,strassenbahn,Hundekehle über Königsallee<> Anhalter Bhf.,0,both/unkown,20,
42,195143,1951,76E,strassenbahn,Hundekehlenstrasse Ecke Teplitzerstrasse<> Nollendorfplatz,0,both/unkown,15,
43,195144,1951,77,strassenbahn,"Bhf. Zoo<> Lichterfelde, Goerzallee",0,both/unkown,20,
44,195145,1951,78,strassenbahn,"Lichterfelde-Süd, Lindenstrasse<> Bhf. Zoo",0,both/unkown,15,
45,195146,1951,82,strassenbahn,Breitestrasse Ecke Mühlendamm<> Alt-Stralau,0,both/unkown,20,
46,195147,1951,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,0,both/unkown,25,
47,195148,1951,84,strassenbahn,"Bhf. Friedrichshagen<> Alt-Glienicke, Am Falkenberg",0,both/unkown,20,
48,195149,1951,86,strassenbahn,"Mahlsdorf-Süd, Hubertus<> Alt-Schmöckwitz",0,both/unkown,20,
49,195150,1951,87,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Rahnsdorf (Mühle)",0,both/unkown,25,
50,195151,1951,88,strassenbahn,"Steglitz, Stadtpark<> Wiener Brücke",0,both/unkown,15,
51,195152,1951,91,strassenbahn,"Treptow, Rathaus<> Friedrichstrasse, Johannisthal",0,both/unkown,20,
52,195153,1951,92,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Bhf. Oberspree, Sedanstrasse",0,both/unkown,20,
53,195154,1951,95,strassenbahn,"Attilaplatz<> Köpenick, Krankenhaus",0,both/unkown,15,
54,195155,1951,96,strassenbahn,Machnower Schleuse<> Bhf. Tempelhof,0,both/unkown,20,
55,195156,1951,98,strassenbahn,U-Bhf. Tempelhof<> Daimlerstrasse Ecke Birnhornweg,0,both/unkown,15,
56,195157,1951,99,strassenbahn,Mehringplatz/Hallesches Tor<> Bhf. Lichtenrade,0,both/unkown,15,
57,195158,1951,76E,strassenbahn,Hundekehle über Königsallee<> Nollendorfplatz,0,both/unkown,10,
58,195159,1951,A I,u-bahn,Pankow (Vinetastr.)<> Ruhleben,0,both/unkown,10,
59,195160,1951,A II,u-bahn,Wittenbergplatz<> Krumme Lanke,0,both/unkown,10,
60,195161,1951,A III,u-bahn,Deutsches Opernhaus (Bismarckstr.)<> Richard-Wagner-Platz,0,both/unkown,10,
61,195162,1951,A1 (Obus),bus,"Moabit, Waldstrasse Ecke Turmstrasse<> Lichterfelde-Süd, Lindenstrasse",0,both/unkown,15,
62,195163,1951,A10,bus,"Westend, Königin-Elisabeth-Strasse<> Machnowerstrasse Ecke Andreezeile, Zehlendorf",0,both/unkown,15,
63,195164,1951,A11,bus,"U-Bhf. Dahlem-Dorf<> Lankwitz, Trippsteinstrasse",0,both/unkown,20,
64,195165,1951,A12,bus,"Frohnau, Sigismundkorso<> Seestrasse Ecke Müllerstrasse",0,both/unkown,10,
65,195166,1951,A13,bus,"Spandau, Weinmeisterhornweg<> Bhf. Tegel",0,both/unkown,15,
66,195167,1951,A14,bus,Bhf. Tegel<> Reinickendorf Hauptstrasse Ecke Aroserallee,0,both/unkown,20,
67,195168,1951,A15,bus,Bhf. Wittenau<> Bhf. Tegel,0,both/unkown,30,
68,195169,1951,A16,bus,U-Bhf. Seestrasse<> U-Bhf. Breitenbachplatz,0,both/unkown,6,
69,195170,1951,A17,bus,Roseneck<> Saaleckplatz (Lichterfelde),0,both/unkown,15,
70,195171,1951,A9,bus,"Arnswalder Platz, Elbingerstrasse<> Scharnhorststrasse Ecke Kielerstrasse",0,both/unkown,0,
71,195172,1951,A2,bus,"Rathaus Zehlendorf<> Lankwitz, Trippsteinstrasse",0,both/unkown,10,
72,195173,1951,A27,bus,Müggelheim (An der Großen Krampe)<> Bhf. Kaulsdorf,0,both/unkown,40,
73,195174,1951,A3,bus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",0,both/unkown,8,
74,195175,1951,A31,bus,"Staaken, Heidelbergplan<> Bhf. Spandau",0,both/unkown,10,
75,195176,1951,A32 (Obus),bus,Breitenbachplatz<> Bhf. Marienfelde,0,both/unkown,12,
76,195177,1951,A33 (Obus),bus,"Bhf. Steglitz<> Mariendorf, Kaiserstrasse Ecke Mariendorfer Damm",0,both/unkown,8,
77,195178,1951,A34,bus,"Spandau, Askanierring<> Alt-Kladow, Kladow",0,both/unkown,30,
78,195179,1951,A35,bus,"S-Bhf. Tegel<> Lübars, Dorfplatz",0,both/unkown,30,
79,195180,1951,A36,bus,"S-Bhf. Grünau<> Schönefeld, Dorfplatz",0,both/unkown,30,
80,195181,1951,A37,bus,"Bhf. Lichtenberg<> Alt-Marzahn, Kirche",0,both/unkown,20,
81,195182,1951,A38,bus,Bhf. Grünau<> Walterdorferstrasse Ecke Waldstrasse,0,both/unkown,20,
82,195183,1951,A39,bus,"Wartenbergerstrasse Ecke Falkenbergerstrasse<> Wartenberg, Siedlung",0,both/unkown,20,
83,195184,1951,A3E,bus,"U-Bhf. Oskar-Helene-Heim<> Lichterfelde, Osteweg",0,both/unkown,30,
84,195185,1951,A4,bus,Rathaus Schöneberg<> Rathaus Neukölln,0,both/unkown,7,
85,195186,1951,A40,bus,"Schlesischer Bhf./Ostbahnhof, Madaistrasse<> Robert-Koch-Platz",0,both/unkown,20,
86,195187,1951,A41,bus,"Dimitroffstrasse Ecke Leninallee<> Marzahn, Bürknersfelde",0,both/unkown,30,
87,195188,1951,A42,bus,"Ostseestrasse Ecke Prenzlauer Allee<> Buch, Zepernickerstrasse (Ludwig-Hoffmann-Krankenhaus)",0,both/unkown,20,
88,195189,1951,A43,bus,"U-Bhf. Friedrichsfelde<> Pekrunstrasse, Marzahn",0,both/unkown,40,
89,195190,1951,A44,bus,"Bhf. Mahlsdorf, Wodanstrasse<> Hönow, Dorfstrasse (Schule)",0,both/unkown,20,
90,195191,1951,A45,bus,"Wilhelmsruh, Fontanestrasse<> Weißensee, Lindenallee",0,both/unkown,20,
91,195192,1951,A5,bus,"Falkensee, Hansastrasse Ecke Friedrich-Engel-Strasse<> Spandau, Rathaus",0,both/unkown,10,
92,195193,1951,A6,bus,Kladow/Hottengrund<> Groß-Glienick/Gutshof,0,both/unkown,60,
93,195194,1951,A7,bus,"Pankow, Elsa-Brandströmstrasse<> Schildow, Breitestrasse",0,both/unkown,20,
94,195195,1951,A8,bus,"U-Bhf. Friedrichsfelde<> Kaulsdorf, Sadowastrasse",0,both/unkown,20,
95,195196,1951,A19,bus,Potsdamer Platz/Leipziger Platz<> Stettiner Bhf./Nordbahnhof,0,both/unkown,15,
96,195197,1951,B I,u-bahn,Innsbrucker Platz<> Kottbusser Tor,0,both/unkown,12,
97,195198,1951,B II,u-bahn,Warschauer Brücke<> Uhlandstrasse,0,both/unkown,12,
98,195199,1951,C I,u-bahn,Seestraße<> Grenzallee,0,both/unkown,10,
99,1951100,1951,C II,u-bahn,Mehringdamm<> Tempelhof (Südring),0,both/unkown,10,
100,1951101,1951,D,u-bahn,Gesundbrunnen<> Leinestr.,0,both/unkown,10,
101,1951102,1951,E,u-bahn,Friedrichsfelde<> Alexanderplatz,0,both/unkown,10,
102,1951103,1951,KBS 100,s-bahn,Gesundbrunnen<> Gesundbrunnen,0,both/unkown,0,
103,1951104,1951,KBS 100a,s-bahn,Wilmersdorf<> Grünau,0,both/unkown,0,
104,1951105,1951,KBS 100b,s-bahn,Jungfernheide<> Gartenfeld,0,both/unkown,0,
105,1951106,1951,KBS 100d,s-bahn,Schöneweide<> Spindlersfeld,0,both/unkown,0,
106,1951107,1951,KBS 101,s-bahn,Staaken<> Strausberg,0,both/unkown,0,
107,1951108,1951,KBS 102,s-bahn,Potsdam<> Erkner,0,both/unkown,0,
108,1951109,1951,KBS 103,s-bahn,Falkensee<> Königs Wusterhausen,0,both/unkown,0,
109,1951110,1951,KBS 104,s-bahn,Oranienburg<> Wannsee,0,both/unkown,0,
110,1951111,1951,KBS 104a,s-bahn,Zehlendorf<> Düppel,0,both/unkown,0,
111,1951112,1951,KBS 105,s-bahn,Velten (Mark)<> Anhalter Bahnhof,0,both/unkown,0,
112,1951113,1951,KBS 105b,s-bahn,Nordbahnhof<> Rangsdorf,0,both/unkown,0,
113,1951114,1951,KBS 106,s-bahn,Bernau (b Bln)<> Teltow,0,both/unkown,0,
114,1951115,1951,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Fähre,Kladow<> Wannsee,20,West,60,
0,19561,1956,1,strassenbahn,Schillingbrücke (Ostbahnhof)<> Am Kupfergraben,33,Ost,20,7.66
1,19562,1956,2,strassenbahn,"Wienerstrasse, Spreewaldplatz<> Bernauerstrasse Ecke Wollinerstrasse",70,West,15,
2,19563,1956,3,strassenbahn,Mühlenstrasse<> Björnsonstrasse,45,Ost,12,12.09
3,19564,1956,3,strassenbahn,"Neukölln, Hermannplatz<> Grüntalerstrasse Ecke Osloer Strasse",81,West,10,
4,19565,1956,4,strassenbahn,Mühlenstrasse<> Oderberger Strasse,27,both/unkown,5,6.32
5,19566,1956,6,strassenbahn,Bhf. Zoo<> Elsenstrasse Ecke Heidelbergerstrasse,58,West,10,
6,19567,1956,11,strassenbahn,Köpenicker Strasse Ecke Adalbertstrasse<> Hannoversche Strasse,23,Ost,20,5.43
7,19568,1956,13,strassenbahn,"Klingenberg, Blockdammweg<> Oderberger Strasse",37,Ost,15,9.91
8,19569,1956,15,strassenbahn,Daimlerstrasse<> Schulenburgpark,36,West,15,
9,195610,1956,22,strassenbahn,Bhf. Rosenthal<> Elisabethstrasse,49,Ost,12,11.65
10,195611,1956,23,strassenbahn,"Bhf. Wollankstrasse<> Moabit, Zwinglistrasse",29,West,15,
11,195612,1956,24,strassenbahn,Bhf. Wollankstrasse<> Bernauerstrasse Ecke Wollinerstrasse,14,West,15,
12,195613,1956,25,strassenbahn,"Tegel, Alt-Tegel<> Schöneberg, Gotenstrasse",77,West,15,
13,195614,1956,26,strassenbahn,"Spreewaldplatz<> Tempelhof, Industriestrasse",31,West,15,
14,195615,1956,27,strassenbahn,"Neukölln, Hermannplatz<> Buckow, Alt-Buckow",26,West,10,
15,195616,1956,28,strassenbahn,"Tegelort, Kurzestrasse<> Rügenesrstrasse Ecke Brunnenstrasse",59,West,20,
16,195617,1956,29,strassenbahn,"Heiligensee, Dorfaue<> Rügenerstrasse Ecke Brunnenstrasse",57,West,20,
17,195618,1956,35,strassenbahn,"Siemensstradt, Nonnendammallee<> Reinickendorf, Teichstrasse Ecke Humboldtstrasse",48,West,15,
18,195619,1956,36,strassenbahn,Bhf. Wilhelmsruh<> Rügenerstrasse Ecke Brunnenstrasse,20,West,15,
19,195620,1956,40,strassenbahn,"Dahlem, Clayallee<> Steglitz, Birkbuschstrasse Ecke Siemensstrasse",20,West,15,
20,195621,1956,41,strassenbahn,"Tegel, Alt-Tegel<> Bernauerstrasse Ecke Wollinerstrasse",44,West,15,
21,195622,1956,44,strassenbahn,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstrasse Ecke Siemensstrasse",56,West,15,
22,195623,1956,46,strassenbahn,"Niederschönhausen, Schillerstrasse<> Am Kupfergraben",49,Ost,12,11.75
23,195624,1956,47,strassenbahn,"Hermannplatz<> Rudow, Bahnhofstrasse",34,West,10,
24,195625,1956,49,strassenbahn,Buchholz<> Große Präsidentenstrasse,42,Ost,16,10.38
25,195626,1956,51,strassenbahn,"Roseneck, Grunewald<> Bhf. Zoo",23,West,20,
26,195627,1956,54,strassenbahn,"Spandau, Johannesstift<> Bhf. Zoo",51,West,15,
27,195628,1956,55,strassenbahn,"Spandau, Nauenerstrasse<> Bhf. Zoo",48,West,12,
28,195629,1956,60,strassenbahn,Königin-Elisabeth-Strasse Ecke Kaiserdamm<> Lindenhof Eythstrasse,49,West,15,
29,195630,1956,63,strassenbahn,"Hohenschönhausen, Gartenstadt<> Große Präsidentenstrasse",41,Ost,20,10.16
30,195631,1956,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz, Krausenstrasse",39,Ost,20,12.08
31,195632,1956,66,strassenbahn,Belziger Strasse Ecke Martin-Luther-Strasse<> Thorwaldsenstrasse Ecke Grazer Damm,12,West,10,
32,195633,1956,68,strassenbahn,"Bhf. Wittenau, Nordbahn, Cyclopstrasse<> Nettelbeckplatz",27,West,15,
33,195634,1956,69,strassenbahn,"Johannisthal, Haeckelstrasse<> Walter-Ulbricht-Stadion",79,Ost,20,21.39
34,195635,1956,70,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Clara-Zetkin-Strasse Ecke Neue Wilhelmstrasse",52,Ost,12,12.43
35,195636,1956,71,strassenbahn,"Heinersdorf, Romain-Rolland-Str.<> Jüdenstrasse, Berliner Rathaus",31,Ost,10,7.56
36,195637,1956,72,strassenbahn,"Weißensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",42,Ost,10,10.39
37,195638,1956,73,strassenbahn,"Bhf. Lichterfelde-Ost<> Potsdamer Platz, Linkstrasse",41,West,20,
38,195639,1956,74,strassenbahn,"Lichtefelde, Finckensteinallee<> Potsdamer Platz, Linkstrasse",38,West,20,
39,195640,1956,74,strassenbahn,"Wießensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",38,Ost,6,9.4
40,195641,1956,75,strassenbahn,"Bhf. Zoo, Kantstrasse<> Hakenfelde",59,West,10,
41,195642,1956,77,strassenbahn,"Bhf. Zoo<> Lichterfelde, Goerzallee",45,West,20,
42,195643,1956,78,strassenbahn,Bhf. Zoo<> Lindenstrasse,44,West,20,
43,195644,1956,82,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Köpenick, Hirtestrasse",73,Ost,20,21.53
44,195645,1956,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,47,Ost,20,12.23
45,195646,1956,84,strassenbahn,"Altglienicke, Am Falkenberg<> Friedrichshagen, Wasserwerk",52,Ost,20,13.6
46,195647,1956,86,strassenbahn,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",53,Ost,20,16.17
47,195648,1956,87,strassenbahn,Rahnsdorf<> Wiener Brücke,73,Ost,20,21.58
48,195649,1956,88,strassenbahn,Stadtpark<> Wiener Brücke,45,West,15,
49,195650,1956,91,strassenbahn,"Treptow, Spreeterrassen<> Johannisthal, Haeckelstrasse",23,Ost,20,6.33
50,195651,1956,92,strassenbahn,"Treptow, Flutgraben<> Oberspree",28,Ost,20,8.21
51,195652,1956,94,strassenbahn,"Oranienplatz, Dresdenerstrasse<> Neukölln, Schulenburgpark",20,West,15,
52,195653,1956,95,strassenbahn,Attilaplatz<> Sonnenallee Ecke Schwarzer Weg,42,West,15,
53,195654,1956,95,strassenbahn,"Baumschulenweg, Sonnenallee<> Köpenick, Krankenhaus",37,Ost,20,10.95
54,195655,1956,96,strassenbahn,"U-Bhf. Tempelhof<> Lichterfelde-Süd, Schwelmerstrasse",32,West,15,
